"customer_id","country","gender","age"
"15634602",France,Female,42
"15647311",Spain,Female,41
"15619304",France,Female,42
"15701354",France,Female,39
"15737888",Spain,Female,43
"15574012",Spain,Male,44
"15592531",France,Male,50
"15656148",Germany,Female,29
"15792365",France,Male,44
"15592389",France,Male,27
"15767821",France,Male,31
"15737173",Spain,Male,24
"15632264",France,Female,34
"15691483",France,Female,25
"15600882",Spain,Female,35
"15643966",Germany,Male,45
"15737452",Germany,Male,58
"15788218",Spain,Female,24
"15661507",Spain,Male,45
"15568982",France,Female,24
"15577657",France,Male,41
"15597945",Spain,Female,32
"15699309",Spain,Female,38
"15725737",France,Male,46
"15625047",France,Female,38
"15738191",France,Male,25
"15736816",Germany,Male,36
"15700772",France,Male,44
"15728693",Germany,Female,43
"15656300",France,Male,29
"15589475",Spain,Female,39
"15706552",France,Male,36
"15750181",Germany,Male,41
"15659428",Spain,Female,42
"15732963",Spain,Female,29
"15794171",France,Female,45
"15788448",Spain,Male,31
"15729599",Spain,Male,33
"15717426",France,Male,36
"15585768",Germany,Male,41
"15619360",Spain,Male,40
"15738148",France,Female,51
"15687946",France,Female,61
"15755196",France,Female,49
"15684171",Spain,Female,61
"15754849",Germany,Female,32
"15602280",Germany,Female,27
"15771573",Germany,Female,39
"15766205",Germany,Male,38
"15771873",Germany,Female,37
"15616550",Germany,Male,44
"15768193",Germany,Male,36
"15683553",France,Female,33
"15702298",Germany,Male,41
"15569590",Germany,Male,42
"15760861",France,Male,43
"15630053",France,Male,45
"15647091",Germany,Male,19
"15623944",Spain,Female,66
"15804771",France,Male,51
"15651280",Germany,Male,35
"15773469",Germany,Female,27
"15702014",Spain,Male,33
"15751208",Spain,Male,56
"15592461",Germany,Male,26
"15789484",Germany,Female,36
"15696061",Germany,Female,34
"15641582",Germany,Male,43
"15638424",Germany,Female,35
"15755648",France,Female,21
"15703793",Germany,Male,58
"15620344",France,Male,29
"15812518",Spain,Female,37
"15779052",Germany,Female,25
"15770811",France,Male,36
"15780961",France,Female,21
"15614049",France,Male,55
"15662085",France,Female,32
"15575185",Spain,Male,33
"15803136",Germany,Female,41
"15706021",France,Female,34
"15663706",France,Female,32
"15641732",France,Female,36
"15701164",France,Female,34
"15738751",France,Female,46
"15805254",Spain,Female,75
"15762418",Spain,Male,22
"15625759",France,Male,30
"15622897",France,Female,46
"15767954",Germany,Female,28
"15757535",Spain,Female,44
"15731511",France,Male,45
"15809248",France,Female,36
"15640635",France,Male,29
"15676966",Spain,Male,42
"15699461",Spain,Male,35
"15738721",Spain,Male,41
"15693683",Germany,Male,29
"15604348",Spain,Male,22
"15633059",France,Male,34
"15808582",France,Female,40
"15743192",France,Female,44
"15580146",France,Male,31
"15776605",Spain,Male,36
"15804919",Spain,Female,65
"15613854",Spain,Female,46
"15599195",Germany,Male,32
"15812878",Germany,Female,36
"15602312",Spain,Male,33
"15744689",Germany,Male,35
"15803526",Germany,Male,30
"15665790",Germany,Male,39
"15715951",France,Male,42
"15591100",Spain,Male,36
"15609618",Germany,Male,28
"15675522",Germany,Female,30
"15705512",Germany,Female,37
"15698028",France,Female,41
"15661670",Germany,Female,31
"15600781",Germany,Male,34
"15682472",France,Male,34
"15580203",Spain,Male,39
"15690673",France,Female,39
"15760085",Germany,Female,48
"15779659",France,Female,28
"15627360",France,Male,42
"15671137",France,Female,52
"15782688",Germany,Male,56
"15575492",France,Female,41
"15591607",France,Male,24
"15740404",France,Female,34
"15718369",Germany,Female,33
"15677871",France,Male,38
"15642004",France,Male,25
"15712543",Germany,Male,39
"15584518",Germany,Female,50
"15802381",Germany,Female,34
"15610156",France,Male,40
"15594408",Spain,Female,48
"15640905",Spain,Female,35
"15698932",Germany,Male,44
"15724944",France,Male,34
"15628145",France,Female,43
"15713483",Spain,Male,52
"15612350",France,Female,31
"15800703",Spain,Female,21
"15705707",Spain,Female,29
"15754105",France,Male,37
"15703264",France,Male,44
"15794413",France,Male,32
"15650237",Spain,Female,32
"15759618",France,Female,48
"15811589",Spain,Male,42
"15689044",France,Male,37
"15709368",France,Female,43
"15679145",Spain,Male,57
"15655007",France,Female,33
"15623595",Spain,Female,28
"15589975",France,Female,73
"15804017",Germany,Female,33
"15692132",Spain,Female,22
"15641122",France,Male,30
"15630910",France,Female,49
"15680772",Spain,Female,36
"15658929",Spain,Male,29
"15585388",Germany,Male,31
"15724623",Germany,Female,24
"15588537",Spain,Female,41
"15574692",Spain,Female,39
"15611325",Germany,Male,24
"15587562",France,Female,29
"15613172",Germany,Male,27
"15651022",Germany,Male,44
"15586310",France,Male,30
"15625524",France,Male,40
"15755209",Spain,Female,35
"15645248",France,Female,30
"15790355",Germany,Male,36
"15762615",Spain,Female,40
"15625426",Germany,Female,55
"15716334",Spain,Female,45
"15789669",France,Male,65
"15621075",Germany,Female,45
"15810845",France,Male,42
"15719377",France,Female,50
"15654506",France,Male,32
"15771977",France,Female,39
"15708710",Spain,Female,37
"15726676",Spain,Male,30
"15587421",Germany,Female,34
"15726931",France,Female,41
"15771086",France,Female,36
"15756850",France,Male,40
"15702741",France,Male,32
"15679200",Spain,Male,29
"15594815",France,Male,35
"15635905",Spain,Female,32
"15777892",Germany,Male,37
"15656176",France,Male,57
"15811127",France,Male,35
"15604482",Spain,Male,30
"15622911",France,Male,42
"15600974",Spain,Male,50
"15727868",France,Female,38
"15627801",Spain,Male,33
"15773039",France,Male,37
"15755262",Spain,Female,41
"15679531",France,Male,34
"15684181",France,Male,45
"15612087",France,Male,45
"15752047",Germany,Male,33
"15624592",France,Male,31
"15573152",France,Female,41
"15594917",France,Female,34
"15785542",Germany,Male,26
"15723488",Germany,Male,47
"15680920",France,Male,46
"15786308",Spain,Female,33
"15659366",France,Male,43
"15774854",France,Male,54
"15725311",France,Female,31
"15787155",Spain,Male,30
"15727829",France,Male,42
"15733247",France,Male,33
"15568748",Germany,Male,45
"15699029",France,Male,37
"15774393",France,Female,30
"15676895",Germany,Female,39
"15637753",Germany,Male,50
"15605461",Germany,Female,29
"15808473",France,Male,72
"15627000",France,Male,40
"15787174",France,Female,37
"15723886",Germany,Male,20
"15704769",France,Female,67
"15772896",Germany,Male,42
"15711540",France,Female,29
"15764866",Germany,Female,43
"15794056",France,Female,46
"15795149",France,Male,28
"15812009",Spain,Male,38
"15651001",Germany,Female,39
"15813844",France,Male,37
"15596175",Germany,Male,67
"15576269",Spain,Male,34
"15797219",France,Female,40
"15685500",Germany,Male,26
"15599792",France,Female,26
"15657566",Germany,Male,24
"15772423",Germany,Male,54
"15628112",Germany,Female,36
"15753754",Spain,Female,34
"15793726",France,Female,79
"15694717",Germany,Male,37
"15665834",Spain,Male,28
"15765297",Spain,Male,41
"15636684",France,Male,34
"15592979",Germany,Female,34
"15750803",France,Female,30
"15607178",Germany,Male,38
"15713853",Germany,Male,42
"15673481",Spain,Female,48
"15686776",France,Female,32
"15673693",France,Female,26
"15700696",Spain,Male,31
"15813163",Spain,Female,36
"15653857",France,Male,34
"15777076",France,Male,36
"15717398",Spain,Female,39
"15799217",Germany,Female,35
"15787071",Spain,Male,41
"15619955",Germany,Male,34
"15796505",Germany,Female,34
"15725166",France,Male,30
"15800116",Germany,Male,28
"15758685",Spain,Female,37
"15694456",France,Male,62
"15767339",France,Female,53
"15683562",France,Male,35
"15782210",France,Male,46
"15668893",France,Male,39
"15669169",Spain,Male,29
"15643024",Germany,Male,35
"15699389",France,Male,42
"15708608",France,Female,22
"15626144",France,Male,40
"15573112",Spain,Male,29
"15790678",France,Female,32
"15727556",Spain,Female,26
"15697307",Spain,Male,34
"15652266",Germany,Male,42
"15607098",Spain,Female,41
"15655774",France,Male,27
"15590241",Spain,Female,34
"15785819",France,Male,38
"15723654",France,Male,25
"15774510",France,Female,31
"15684173",Spain,Female,44
"15650068",France,Male,58
"15811490",France,Male,33
"15803976",France,Female,31
"15682541",Spain,Female,36
"15695699",France,Male,35
"15624188",France,Female,33
"15812191",France,Male,33
"15636673",France,Male,31
"15594898",France,Male,43
"15660211",Germany,Male,35
"15773972",France,Male,50
"15746726",Germany,Male,31
"15712287",France,Female,80
"15702919",Germany,Male,30
"15674398",France,Male,38
"15797960",Germany,Female,59
"15631868",Spain,Male,36
"15581539",Spain,Male,37
"15662736",France,Male,49
"15666252",Spain,Male,42
"15677512",Spain,Female,22
"15626114",France,Male,24
"15810834",Spain,Female,57
"15678910",France,Female,30
"15694408",France,Male,40
"15585215",France,Female,31
"15682757",France,Male,30
"15736601",France,Male,35
"15601848",France,Male,35
"15736008",France,Female,46
"15669064",Germany,Male,35
"15624528",Germany,Male,26
"15598493",France,Male,50
"15601274",Spain,Female,40
"15702669",Germany,Male,44
"15728669",Germany,Female,30
"15742668",Spain,Female,37
"15697441",France,Male,29
"15740476",Germany,Female,32
"15648064",France,Male,33
"15636624",Spain,Female,39
"15807923",Germany,Female,39
"15745844",Germany,Female,40
"15786170",France,Male,31
"15681081",Spain,Female,47
"15684484",France,Male,22
"15785869",France,Female,25
"15763859",France,Female,43
"15658935",Germany,Female,34
"15747358",Germany,Male,59
"15735203",Germany,Female,32
"15576256",France,Male,39
"15659420",Spain,Male,32
"15593365",Spain,Male,39
"15777352",Spain,Female,32
"15812007",Spain,Male,25
"15625461",France,Female,45
"15739438",France,Male,30
"15611759",Spain,Female,57
"15661629",Spain,Male,34
"15633950",France,Male,41
"15592386",France,Male,58
"15803716",Spain,Male,28
"15696674",Germany,Female,45
"15706365",France,Female,50
"15745088",Germany,Female,29
"15676715",France,Male,68
"15613085",Spain,Female,33
"15633537",Germany,Female,42
"15594720",Germany,Female,35
"15684042",Germany,Male,34
"15583303",France,Female,29
"15611579",Spain,Male,42
"15774696",Germany,Female,75
"15694506",Germany,Male,31
"15688074",Germany,Male,31
"15759537",Germany,Male,35
"15758449",France,Female,39
"15583456",Germany,Male,45
"15667871",Spain,Male,35
"15677371",Spain,Female,30
"15629677",Spain,Female,39
"15713578",France,Female,50
"15591509",France,Male,36
"15568240",Germany,Female,30
"15622993",Germany,Male,28
"15689294",Germany,Male,44
"15720910",France,Female,66
"15721181",Spain,Male,46
"15776433",Spain,Male,62
"15748936",Spain,Female,45
"15717225",France,Female,21
"15685226",Germany,Female,29
"15785611",Germany,Male,38
"15573456",Spain,Male,46
"15684548",Spain,Male,38
"15620505",Spain,Female,24
"15807432",Germany,Female,37
"15584766",France,Male,33
"15612187",Germany,Male,32
"15762218",France,Female,39
"15646372",France,Female,66
"15690452",France,Male,52
"15747795",Germany,Female,38
"15781589",Spain,Male,52
"15732674",Spain,Male,36
"15642291",France,Male,23
"15692761",France,Male,36
"15578045",Spain,Female,49
"15745354",Spain,Female,37
"15701376",Germany,Male,37
"15691625",Germany,Female,41
"15566594",Spain,Male,23
"15760431",France,Male,38
"15686302",Spain,Female,31
"15801559",Germany,Female,41
