"customer_id","credit_score","estimated_salary"
"15634602",619,101348.88
"15647311",608,112542.58
"15619304",502,113931.57
"15701354",699,93826.63
"15737888",850,79084.10
"15574012",645,149756.71
"15592531",822,10062.80
"15656148",376,119346.88
"15792365",501,74940.50
"15592389",684,71725.73
"15767821",528,80181.12
"15737173",497,76390.01
"15632264",476,26260.98
"15691483",549,190857.79
"15600882",635,65951.65
"15643966",616,64327.26
"15737452",653,5097.67
"15788218",549,14406.41
"15661507",587,158684.81
"15568982",726,54724.03
"15577657",732,170886.17
"15597945",636,138555.46
"15699309",510,118913.53
"15725737",669,8487.75
"15625047",846,187616.16
"15738191",577,124508.29
"15736816",756,170041.95
"15700772",571,38433.35
"15728693",574,100187.43
"15656300",411,53483.21
"15589475",591,140469.38
"15706552",533,156731.91
"15750181",553,81898.81
"15659428",520,34410.55
"15732963",722,142033.07
"15794171",475,27822.99
"15788448",490,114066.77
"15729599",804,98453.45
"15717426",850,40812.90
"15585768",582,178074.04
"15619360",472,70154.22
"15738148",465,181297.65
"15687946",556,94153.83
"15755196",834,194365.76
"15684171",660,158338.39
"15754849",776,126517.46
"15602280",829,119708.21
"15771573",637,117622.80
"15766205",550,90878.13
"15771873",776,194099.12
"15616550",698,198059.16
"15768193",585,86424.57
"15683553",788,116978.19
"15702298",655,164040.94
"15569590",601,40014.76
"15760861",619,113410.49
"15630053",656,87107.57
"15647091",725,45613.75
"15623944",511,1643.11
"15804771",614,46775.28
"15651280",742,84509.57
"15773469",687,126494.82
"15702014",555,178798.13
"15751208",684,99398.36
"15592461",603,92840.67
"15789484",751,27758.36
"15696061",581,110431.51
"15641582",735,196673.28
"15638424",661,113656.85
"15755648",675,18203.00
"15703793",738,28373.86
"15620344",813,33953.87
"15812518",657,44203.55
"15779052",604,58426.81
"15770811",519,145562.40
"15780961",735,22388.00
"15614049",664,139161.64
"15662085",678,148210.64
"15575185",757,194239.63
"15803136",416,98301.61
"15706021",665,171413.66
"15663706",777,136458.19
"15641732",543,26019.59
"15701164",506,159235.29
"15738751",493,1907.66
"15805254",652,114675.75
"15762418",750,128643.35
"15625759",729,151869.35
"15622897",646,93251.42
"15767954",635,156791.36
"15757535",647,174205.22
"15731511",808,147132.46
"15809248",524,109614.57
"15640635",769,172290.61
"15676966",730,85982.47
"15699461",515,121277.78
"15738721",773,64595.25
"15693683",814,197276.13
"15604348",710,99645.04
"15633059",413,6534.18
"15808582",665,161848.03
"15743192",623,167162.43
"15580146",738,41970.72
"15776605",528,60536.56
"15804919",670,177655.68
"15613854",622,30984.59
"15599195",582,10054.53
"15812878",785,36976.52
"15602312",605,71862.79
"15744689",479,99449.86
"15803526",685,63082.88
"15665790",538,27231.26
"15715951",562,86797.41
"15591100",675,22994.32
"15609618",721,101300.94
"15675522",628,74169.13
"15705512",668,115638.29
"15698028",506,31766.30
"15661670",524,199725.39
"15600781",699,120834.48
"15682472",828,38131.77
"15580203",674,100130.95
"15690673",656,141069.88
"15760085",684,198129.36
"15779659",625,183646.41
"15627360",432,110265.24
"15671137",549,8636.05
"15782688",625,46824.08
"15575492",828,171378.77
"15591607",770,167256.35
"15740404",758,124226.16
"15718369",795,114935.21
"15677871",687,35608.88
"15642004",686,16459.37
"15712543",789,124411.08
"15584518",589,34941.23
"15802381",461,167784.28
"15610156",637,93165.34
"15594408",584,75161.25
"15640905",579,8590.83
"15698932",756,189543.90
"15724944",663,180427.24
"15628145",682,193318.33
"15713483",793,159123.82
"15612350",691,126213.84
"15800703",485,54141.50
"15705707",635,141075.51
"15754105",650,24495.03
"15703264",735,74836.34
"15794413",416,878.87
"15650237",754,89520.75
"15759618",535,149892.79
"15811589",716,180800.42
"15689044",539,98646.22
"15709368",614,109041.53
"15679145",706,17941.16
"15655007",758,82996.47
"15623595",586,92067.35
"15589975",646,104719.66
"15804017",631,112687.57
"15692132",717,84699.56
"15641122",684,83473.82
"15630910",800,47125.11
"15680772",721,106977.80
"15658929",683,55582.54
"15585388",660,139874.43
"15724623",704,162503.48
"15588537",615,196499.96
"15574692",667,40721.24
"15611325",682,53134.30
"15587562",484,164017.89
"15613172",628,155996.96
"15651022",480,5472.70
"15586310",578,112187.11
"15625524",512,146457.83
"15755209",484,27286.10
"15645248",510,130553.47
"15790355",606,179351.89
"15762615",597,94774.12
"15625426",754,8080.85
"15716334",850,19482.50
"15789669",510,48071.61
"15621075",778,174531.27
"15810845",636,55470.78
"15719377",804,8546.87
"15654506",514,95857.18
"15771977",730,194945.80
"15708710",525,131521.72
"15726676",616,196108.51
"15587421",687,148564.76
"15726931",715,92982.61
"15771086",512,17675.36
"15756850",479,114996.43
"15702741",601,86957.42
"15679200",580,128077.80
"15594815",807,600.36
"15635905",616,43001.46
"15777892",721,158591.12
"15656176",501,47847.19
"15811127",521,10488.44
"15604482",850,5978.20
"15622911",759,121409.06
"15600974",516,146145.93
"15727868",711,14374.86
"15627801",512,94670.77
"15773039",550,179670.31
"15755262",608,199304.74
"15679531",618,151954.39
"15684181",643,142513.50
"15612087",671,158264.62
"15752047",689,169381.90
"15624592",603,169915.02
"15573152",620,88852.47
"15594917",676,40645.81
"15785542",572,60427.30
"15723488",668,157959.02
"15680920",695,133007.34
"15786308",730,176576.62
"15659366",807,34888.04
"15774854",592,28737.71
"15725311",726,98178.57
"15787155",514,125010.24
"15727829",567,167984.61
"15733247",850,4861.72
"15568748",671,108872.45
"15699029",670,198252.88
"15774393",694,26960.31
"15676895",547,85746.52
"15637753",751,77206.25
"15605461",594,61048.53
"15808473",673,111981.19
"15627000",610,62232.60
"15787174",512,156105.03
"15723886",767,150135.38
"15704769",585,93146.11
"15772896",763,33462.94
"15711540",712,144375.00
"15764866",539,55803.96
"15794056",668,89048.46
"15795149",703,162812.16
"15812009",662,136259.65
"15651001",725,124052.97
"15813844",703,74158.80
"15596175",659,45071.09
"15576269",523,62030.06
"15797219",635,131953.23
"15685500",772,79414.00
"15599792",545,199638.56
"15657566",634,157577.29
"15772423",739,134420.75
"15628112",771,99805.99
"15753754",587,97932.68
"15793726",681,170968.99
"15694717",544,57558.95
"15665834",696,176713.47
"15765297",766,34283.23
"15636684",727,198637.34
"15592979",671,156917.12
"15750803",693,50457.20
"15607178",850,140075.55
"15713853",732,65323.11
"15673481",726,64323.24
"15686776",557,14956.44
"15673693",682,111879.21
"15700696",738,18606.23
"15813163",531,123137.01
"15653857",498,148528.24
"15777076",651,13898.31
"15717398",549,81259.25
